0	17	22	7	15	18	21	6	14	19	16	9	10	4	5	-22.909372	-43.108246	-22.910699	-43.10948	-22.907782	-43.106361	-22.907239	-43.105387	-22.906818	-43.106869	-22.905087	-43.107453	-22.904373	-43.103814	-22.910016	-43.101377	-22.90366	-43.106113	-22.903591	-43.108331	-22.903264	-43.114348	-22.902568	-43.115071	-22.903908	-43.115915	-22.906722	-43.098958	-22.903924	-43.116136	0	194	261	396	424	711	805	832	888	901	923	1030	1115	1141	1170	1
0	17	22	7	15	40	21	31	14	25	16	9	52	4	5	-22.909372	-43.108246	-22.910699	-43.10948	-22.907782	-43.106361	-22.907239	-43.105387	-22.906818	-43.106869	-22.89678	-43.12719	-22.904373	-43.103814	-22.89018	-43.12158	-22.90366	-43.106113	-22.89611	-43.12112	-22.903264	-43.114348	-22.902568	-43.115071	-22.90322	-43.12657	-22.906722	-43.098958	-22.903924	-43.116136	0	194	261	396	424	2912	3171	2820	2484	2220	1768	1030	1456	3563	1170	0
1	11	8	3	9	19	16	14	10	62	5	33	18	12	45	-22.899432	-43.110969	-22.899365	-43.109524	-22.901785	-43.107909	-22.90007	-43.106351	-22.902568	-43.115071	-22.903591	-43.108331	-22.903264	-43.114348	-22.90366	-43.106113	-22.903908	-43.115915	-22.89374	-43.11292	-22.903924	-43.116136	-22.89511	-43.11649	-22.905087	-43.107453	-22.900926	-43.103558	-22.8917	-43.11368	0	145	412	541	569	655	675	685	745	751	760	863	892	918	936	1
1	43	8	3	9	38	16	61	10	62	5	50	18	12	45	-22.899432	-43.110969	-22.88978	-43.11767	-22.901785	-43.107909	-22.90007	-43.106351	-22.902568	-43.115071	-22.88808	-43.11458	-22.903264	-43.114348	-22.90343	-43.13565	-22.903908	-43.115915	-22.89374	-43.11292	-22.903924	-43.116136	-22.90371	-43.12273	-22.905087	-43.107453	-22.900926	-43.103558	-22.8917	-43.11368	0	1538	1949	541	569	1835	1941	2771	2578	751	760	887	2064	918	936	0
2	20	13	12	21	4	7	3	14	22	15	8	11	18	0	-22.901827	-43.099318	-22.900627	-43.098892	-22.9051	-43.097991	-22.900926	-43.103558	-22.904373	-43.103814	-22.906722	-43.098958	-22.907239	-43.105387	-22.90007	-43.106351	-22.90366	-43.106113	-22.907782	-43.106361	-22.906818	-43.106869	-22.901785	-43.107909	-22.899365	-43.109524	-22.905087	-43.107453	-22.909372	-43.108246	0	260	505	586	626	696	915	948	960	1000	1065	1196	1215	1249	1264	1
2	20	27	12	21	4	7	3	14	22	35	8	36	9	0	-22.901827	-43.099318	-22.900627	-43.098892	-22.89592	-43.12417	-22.900926	-43.103558	-22.904373	-43.103814	-22.906722	-43.098958	-22.907239	-43.105387	-22.90007	-43.106351	-22.90366	-43.106113	-22.907782	-43.106361	-22.88648	-43.12292	-22.901785	-43.107909	-22.88544	-43.12166	-22.902568	-43.115071	-22.909372	-43.108246	0	260	3230	2733	626	696	915	948	960	1000	3557	2716	2644	2698	1030	0
3	8	11	12	1	19	14	18	21	2	20	15	9	7	16	-22.90007	-43.106351	-22.901785	-43.107909	-22.899365	-43.109524	-22.900926	-43.103558	-22.899432	-43.110969	-22.903591	-43.108331	-22.90366	-43.106113	-22.905087	-43.107453	-22.904373	-43.103814	-22.901827	-43.099318	-22.900627	-43.098892	-22.906818	-43.106869	-22.902568	-43.115071	-22.907239	-43.105387	-22.903264	-43.114348	0	248	391	425	541	552	581	789	835	948	999	1059	1110	1120	1163	1
3	8	11	12	1	22	14	48	60	2	20	15	13	4	16	-22.90007	-43.106351	-22.901785	-43.107909	-22.899365	-43.109524	-22.900926	-43.103558	-22.899432	-43.110969	-22.907782	-43.106361	-22.90366	-43.106113	-22.90067	-43.12199	-22.90827	-43.13023	-22.901827	-43.099318	-22.900627	-43.098892	-22.906818	-43.106869	-22.9051	-43.097991	-22.906722	-43.098958	-22.903264	-43.114348	0	248	391	425	541	1308	624	1998	1452	3784	999	1059	1264	216	2065	0
4	13	6	21	2	12	20	7	22	14	15	0	3	18	19	-22.906722	-43.098958	-22.9051	-43.097991	-22.910016	-43.101377	-22.904373	-43.103814	-22.901827	-43.099318	-22.900926	-43.103558	-22.900627	-43.098892	-22.907239	-43.105387	-22.907782	-43.106361	-22.90366	-43.106113	-22.906818	-43.106869	-22.909372	-43.108246	-22.90007	-43.106351	-22.905087	-43.107453	-22.903591	-43.108331	0	216	586	661	696	872	919	934	994	1019	1067	1141	1191	1307	1319	1
4	13	6	21	2	12	20	36	22	14	23	0	3	57	19	-22.906722	-43.098958	-22.9051	-43.097991	-22.910016	-43.101377	-22.904373	-43.103814	-22.901827	-43.099318	-22.900926	-43.103558	-22.900627	-43.098892	-22.88544	-43.12166	-22.907782	-43.106361	-22.90366	-43.106113	-22.89486	-43.11948	-22.909372	-43.108246	-22.90007	-43.106351	-22.90464	-43.1302	-22.903591	-43.108331	0	216	586	661	696	872	919	3632	3502	1019	1932	2726	1191	2833	2786	0
